Id.,Proyecto,Informador,Asignada a,Prioridad,Gravedad,Reproducibilidad,Versión del producto,Categoría,Fecha de envío,SO,Versión de SO,Plataforma,Visibilidad,Actualizada,Resumen,Estado,Resolución,Resuelta en versión
0000011,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-23:Registros de entrada/salida por segund,nueva,abierta,
0000010,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,...est Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-22:Acciones simultáneas para un mismo usu,nueva,abierta,
0000009,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-15:Uso continuo por 24 horas - Execution,nueva,abierta,
0000008,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-14:Tiempo de respuesta al registrar entra,nueva,abierta,
0000007,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-13:Incremento gradual de usuarios - Execu,nueva,abierta,
0000006,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,Test Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-12:Acceso continuo durante 8 horas: - Exe,nueva,abierta,
0000005,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-05-13,,,,público,2024-05-13,...st Case: /Sistema asistencias/Sistema de asistencia/Pruebas de rendimiento/J-11:Número de usuarios simultáneos en el m,nueva,abierta,
0000004,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...est Case: /Sistema asistencias/Sistema de asistencia/Pruebas de aceptación/J-10:Como encargado puedo verificar asistenc,nueva,abierta,
0000003,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...est Case: /Sistema asistencias/Sistema de asistencia/Pruebas de aceptación/J-9:Como empleado puedo confirmar asistencia,nueva,abierta,
0000002,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...est Case: /DEMO/Sistema de asistencia/Primas/método updateBonus/J-8:Salario mayor o igual a 500 remoto - Execution (ISO,nueva,abierta,
0000001,Curso,usuario0,,normal,menor,no se ha intentado,,General,2024-04-26,,,,público,2024-04-26,...DEMO/Sistema de asistencia/Primas/método updateBonus/J-8:Salario mayor o igual a 500 remoto -  Ejecutado EL (FORMATO IS,nueva,abierta,
